Date,Product,Category,City,Sales,Profit
2025-01-05,Laptop,Electronics,Delhi,55000,8000
2025-01-08,Mouse,Electronics,Mumbai,1200,300
2025-01-12,Keyboard,Electronics,Bangalore,2500,500
2025-02-02,Chair,Furniture,Delhi,4500,900
2025-02-10,Table,Furniture,Mumbai,8500,1800
2025-02-18,Notebook,Stationery,Patna,300,80
2025-03-05,Pen,Stationery,Lucknow,150,40
2025-03-14,Monitor,Electronics,Delhi,18000,3500
2025-03-22,Laptop,Electronics,Mumbai,60000,9000
2025-04-03,Desk,Furniture,Bangalore,9500,2000
2025-04-12,Mouse,Electronics,Patna,1500,400
2025-04-25,Notebook,Stationery,Delhi,450,120
2025-05-06,Chair,Furniture,Lucknow,5200,1100
2025-05-17,Keyboard,Electronics,Mumbai,2800,600
2025-05-28,Monitor,Electronics,Bangalore,20000,4000
2025-06-04,Pen,Stationery,Delhi,180,50
2025-06-15,Laptop,Electronics,Patna,58000,8500
2025-06-22,Table,Furniture,Lucknow,9000,1900
2025-07-08,Desk,Furniture,Delhi,10000,2200
2025-07-19,Mouse,Electronics,Bangalore,1300,350
